,Lodging,stress minus equation,original stress equation,stress minus equation with standard thickness,Height,main stem DIAm 3,tiller Diam 3,tiller compressed 3,till.comp.flex,Flex after crushing,Root 
156,73.02637,5.829044047,6.805380716,5.552045063,66.66666667,2.17,2.205,0.77,1.08,0.31,1.680909091
157,55.61758926,3.800412719,4.023462835,4.100074598,67,2.166363636,2.4825,1.0275,1.4275,0.4,2.011666667
158,56.24080882,7.965724873,10.28047192,6.629687413,61.77777778,1.848,2.06,0.584,0.676,0.092,1.600909091
159,54.6906297,5.391731274,5.898408852,5.423878288,76,1.919,2.225,0.8725,1.06,0.1875,1.871818182
160,7.256406579,3.757081503,4.479571664,3.760645867,41.16666667,2.4425,2.569166667,0.861666667,1.18,0.318333333,2.381818182
161,24.05634479,5.122773083,5.203731038,5.39251558,72.72222222,1.876,2.23,0.984545455,1.248181818,0.263636364,2.08
162,9.5912532,2.548609922,2.824316699,2.868786929,38.83333333,2.782727273,2.865,1.099,1.571,0.472,2.371666667
163,50.73298355,,,,71.5,2.038333333,,,,,1.905
164,41.2440218,3.357579524,3.297820085,3.81948318,36.5,2.623,2.553333333,1.185,1.495,0.31,2.522
165,29.73595605,4.660543306,4.888422543,4.897706625,56.16666667,1.894,2.315,0.9725,1.14,0.1675,2.072
166,34.60421375,4.178503964,4.773989223,4.244569128,73.16666667,1.961111111,2.44875,0.89,1.13875,0.24875,1.939090909
167,11.09400824,4.270366726,4.978847765,4.261085772,40.33333333,2.266666667,2.445,0.856,1.014,0.158,2.080833333
168,33.90919216,3.307919759,3.647433154,3.569169408,62.05555556,2.024285714,2.623333333,1.015,1.371666667,0.356666667,2.118571429
169,30.00721501,4.805053654,4.883821122,5.102609322,73.83333333,1.742857143,2.278333333,1.005,1.33,0.325,2.005714286
170,30.91803739,6.302370536,7.134237668,6.074445384,77.33333333,1.804166667,2.13,0.787142857,1.041428571,0.254285714,1.856666667
171,56.53463036,9.244361653,10.54203457,8.470071694,66.33333333,1.799,1.878333333,0.685,0.808333333,0.123333333,1.784444444
172,29.77310165,5.239579544,5.987866676,5.145099169,75.5,1.886666667,2.271,0.825,1.048,0.223,1.81
173,26.13919132,5.545641986,6.392641307,5.369168,49.05555556,2.037777778,2.23375,0.79875,1.00375,0.205,2.243
174,59.60635176,4.787957505,5.923946012,4.46689712,68.33333333,2.532,2.4,0.746666667,0.95,0.203333333,2.043
175,47.51993436,6.255561008,6.222119478,6.471117361,75.33333333,1.769166667,2.079090909,0.947272727,1.215454545,0.268181818,2.051666667
176,29.40784675,5.193536812,5.13430996,5.519589865,33,2.469090909,2.21,1.016,1.3,0.284,1.888181818
177,34.75716347,4.485063832,4.978666792,4.592549121,71.5,1.777777778,2.374,0.908,1.217,0.309,1.952727273
178,,,,,,,,,,,
179,52.23258071,4.358703636,4.549414628,4.637258183,82.22222222,2.027,2.365,1.00125,1.19875,0.1975,1.933636364
180,52.84934474,6.773803407,7.856911136,6.356408683,79.66666667,1.907272727,2.093333333,0.74,0.888333333,0.148333333,1.702727273
181,24.50254818,4.052578029,4.671932886,4.110527281,39,2.447272727,2.48,0.886666667,1.136666667,0.25,2.011
182,32.24250829,4.028619583,3.961932817,4.45115496,72.83333333,2.29125,2.403333333,1.113333333,1.533333333,0.42,2.205555556
183,30.56528533,3.935353954,4.519152608,4.021223839,67.5,1.963636364,2.501666667,0.900833333,1.128333333,0.2275,2.1125
184,,,,,,,,,,,
185,,,,,,,,,,,
186,14.819231,6.354720222,7.15587763,6.140042574,37.16666667,1.96,2.12125,0.79125,0.9375,0.14625,1.699166667
187,63.38889995,13.72493349,16.26609916,11.75239475,56.66666667,1.817272727,1.665,0.565,0.595,0.03,1.593636364
188,52.95613477,4.921893828,5.423245845,4.993961902,66,1.69,2.2975,0.89,1.0375,0.1475,1.743333333
189,39.26323676,4.575693615,5.221761159,4.587620658,65.83333333,1.961818182,2.375,0.865,1.12,0.255,1.895454545
190,37.0059275,3.659460565,4.025021283,3.889323483,72.66666667,2.213333333,2.535,0.985,1.33875,0.35375,2.095833333
191,40.49173479,5.903257617,5.416487931,6.329992088,79.55555556,1.789166667,2.096666667,1.07,1.365,0.295,1.795833333
192,29.24747475,4.167640771,4.764256322,4.233610401,63.33333333,1.93,2.45125,0.89,1.15125,0.26125,1.960909091
193,29.96283458,6.475176835,8.139079245,5.695971097,41.5,2.115454545,2.183333333,0.656666667,0.75,0.093333333,1.821818182
194,22.61845268,5.301804118,5.391093777,5.552045063,80.83333333,1.865,2.205,0.972,1.263,0.291,2.166363636
195,37.72229572,4.157039389,4.265007656,4.490664537,79,1.8725,2.395,1.041428571,1.441666667,0.400238095,1.996363636
196,20.32150284,6.87643588,7.725978527,6.587612218,43.66666667,2.401,2.065,0.773333333,0.88,0.106666667,2.07
197,34.1691586,2.688626078,3.06196972,2.946634347,69.16666667,2.315833333,2.834,1.036,1.439,0.403,2.509166667
198,14.31373975,8.989343034,10.46010365,8.13741558,32.83333333,2.075,1.906666667,0.67,0.78,0.11,1.659166667
199,61.93155494,2.749798021,2.865536651,3.155023434,81.5,2.172,2.756666667,1.17,1.581666667,0.411666667,2.485454545
200,4.936379244,3.939236961,4.373196059,4.114719359,42.5,2.066363636,2.479,0.948,1.169,0.221,1.869090909
201,51.56665346,4.512923918,4.897550869,4.679229076,74,1.854444444,2.356666667,0.936666667,1.281666667,0.345,1.938
202,36.80456705,7.340642622,8.717481034,6.693541074,57.77777778,1.997777778,2.0525,0.69375,0.91,0.21625,1.897777778
203,40.39778714,3.293585082,3.579098686,3.586233608,75.5,2.13625,2.618333333,1.038333333,1.345,0.306666667,2.00375
204,17.46115819,2.826372292,3.086292655,3.150305324,38.75,2.515,2.758333333,1.085,1.4,0.315,2.246666667
205,27.09716566,4.193556564,4.397214987,4.477437489,71.5,1.676363636,2.397777778,1.007777778,1.343333333,0.335555556,1.890833333
206,38.82523004,3.192012141,3.518145811,3.465638558,81.11111111,2.260833333,2.654444444,1.027777778,1.514444444,0.486666667,2.371666667
207,43.04158607,5.285089232,6.066030319,5.167656682,67.72222222,1.931818182,2.267142857,0.817142857,1.055714286,0.238571429,1.910833333
208,13.73178793,3.929111502,3.763487727,4.400002119,44.16666667,2.142857143,2.414285714,1.161428571,1.437142857,0.275714286,2.051428571
209,57.60020246,9.109201198,9.579485913,8.790911746,60.16666667,2.013,1.8525,0.775,0.9125,0.1375,1.947
210,13.98563716,3.798922714,4.16064794,4.023477777,40,2.442727273,2.501111111,0.978888889,1.24,0.261111111,2.185454545
