DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A
F6,21,1,10,2,2,6,28,78.57142857,NA,NA,15,13.5,20,23,1.217391304,8.498,8.498,2.66,0.97,3.14,0.86,B,NA,A,A,A,28,A,B
F6,22,9,90,4.25,1,21,29,27.5862069,27.5862069,4,14,14.5,23,28,1.035714286,33.212,8.303,NA,NA,NA,NA,A,B,B,A,B,29,A,A
F7,23,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,A,B,B,NA,NA,A
F7,24,10,100,4.333333333,1,33,70,52.85714286,52.85714286,2,18,19,17,22,3.181818182,135.213,13.5213,2.225,0.896,3.167,0.789,A,B,B,B,B,70,B,B
F6,25,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,NA,NA,A
F7,26,9,90,2.25,1,45.5,82,44.51219512,44.51219512,2,16.75,21,15,22,3.727272727,91.921,10.21344444,1.951111111,0.88,2.575,0.77,A,A,A,A,A,82,B,A
F7,27,7,70,3.75,1,26.5,33,19.6969697,19.6969697,3,11.375,13,16,19,1.736842105,70.056,10.008,2.155,1.005,2.73375,0.865,A,B,B,A,B,33,A,B
F7,28,10,100,4,1,34,77.5,56.12903226,56.12903226,2,22.25,22.5,16,23,3.369565217,143.376,14.3376,2.423333333,1.03,3.195,0.8825,A,A,B,B,B,77.5,B,B
F7,29,9,90,3,1,41,41,0,0,1,16,14.5,14,21,1.952380952,105.748,11.74977778,NA,NA,NA,NA,A,B,A,A,A,41,A,B
F7,30,9,90,3.5,1,16,45,64.44444444,64.44444444,2,17,21,18,22,2.045454545,141.038,15.67088889,NA,NA,NA,NA,B,A,A,A,A,45,A,A
F7,31,8,80,3,1,33.5,66,49.24242424,49.24242424,1,18.25,24,15,22,3,82.747,10.343375,2.1825,1.045,2.5975,0.7475,B,B,A,B,A,66,B,B
F7,32,4,40,3,2,38,86,55.81395349,NA,2,20.5,24.5,12,17,5.058823529,52.738,13.1845,1.99,0.885,2.8325,0.815,A,B,A,A,B,86,B,A
F7,33,8,80,4,1,30,32.5,7.692307692,7.692307692,NA,18,15,16,21,1.547619048,89.054,11.13175,2.58,0.9575,2.9275,0.9425,A,A,A,NA,A,32.5,A,NA
F7,34,8,80,3,1,40,61,34.42622951,34.42622951,3,17,19.5,17,24,2.541666667,105.106,13.13825,2.07625,1.01,2.782857143,0.88,A,A,B,B,B,61,B,B
F7,35,7,70,4,1,41.5,45,7.777777778,7.777777778,2,15.75,18,16,20,2.25,89.073,12.72471429,2.354285714,0.785714286,2.911666667,0.65,A,B,A,B,A,45,A,A
F7,36,9,90,1.66,1,21,44.5,52.80898876,52.80898876,1,17.75,19.5,15,21,2.119047619,153.206,17.02288889,3.178888889,1.315555556,3.134,1.0325,A,A,A,A,A,44.5,A,B
F7,37,9,90,2.75,1,27,45,40,40,1,17.75,16.5,14,18,2.5,118.53,13.17,2.877777778,1.36,2.8425,0.6975,A,A,A,A,A,45,A,B
F7,38,8,80,3.33,1,23,87,73.56321839,73.56321839,2,17.5,23.5,23,28,3.107142857,78.809,9.851125,2.19375,0.735,2.715,0.9225,B,B,B,B,B,87,B,B
F7,39,8,80,2.6,1,24,65,63.07692308,63.07692308,2,13.25,17,17,20,3.25,71.848,8.981,1.76,0.66,2.205714286,0.657142857,B,B,A,B,B,65,B,A
F7,40,6,60,3.33,1,38,39,2.564102564,2.564102564,3,11.75,14,17,21,1.857142857,51.482,8.580333333,2.278333333,0.855,2.625,0.725,B,A,A,A,A,39,A,A
