line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
126,4.624542125,47.66666667,41.89066667,90,90,3.5,3.666666667,15.53487235,15.53487235,37.66666667,44.5,2.666666667,16.33333333,15.5,16,23,1,2.248333333,1.0075,2.588055556,0.929444444,2.383055556,2.406481481,A,B,B,NA,B,44.5,NA,47.66666667,126,A,
127,46.16608508,84.5,34.116,76.66666667,76.66666667,2.583333333,3,31.48148148,31.48148148,37,54,3,18.66666667,18.33333333,21,29,NA,2.723333333,1.23,3.3925,1.31,2.67,2.928611111,A,B,B,B,B,54,B,84.5,127,A,
128,40.78381878,75.5,23.87433333,90,90,1.94,3.333333333,46.41166201,46.41166201,27.88888889,52.16666667,2.333333333,15.66666667,16.5,18,24,1,1.859444444,0.994722222,2.231666667,1.055,1.8075,1.966203704,B,A,B,A,NA,52.16666667,B,75.5,128,A,
129,57.07105696,80,18.72866667,96.2962963,96.2962963,1.083333333,4,63.80040315,63.80040315,27.16666667,74.33333333,2.333333333,14.33333333,17.33333333,14,24,1,2.705,1.285,2.58,0.955,1.871666667,2.338611111,A,A,A,A,NA,74.33333333,B,80,129,A,
130,49.11622276,64.5,15.9215,70.37037037,77.77777778,1.693333333,3,51.41762452,51.41762452,25,51.5,3,15,15.33333333,13,19,NA,2.098333333,0.935,2.305,0.795,1.754166667,2.0525,B,B,B,A,B,51.5,B,64.5,130,A,
131,32.01468614,42.83333333,30.76433333,80,80,2.303333333,3,21.13492063,21.13492063,27.66666667,35.05555556,1.666666667,16,16.5,14,17,1,2.313333333,0.839166667,2.31,0.758333333,2.0275,2.216944444,A,A,B,A,A,35.05555556,A,42.83333333,131,A,
132,18.3935644,58.55555556,NA,21.85185185,#DIV/0!,NA,NA,NA,,NA,NA,2.5,16,14.83333333,16,26,2,NA,NA,NA,NA,NA,NA,B,B,B,B,NA,NA,B,58.55555556,132,A,
133,41.86869599,71.16666667,24.29566667,96.66666667,96.66666667,1.833333333,3.666666667,67.58963636,67.58963636,19.66666667,61.33333333,1.166666667,17.5,19.66666667,18,23,1,1.8425,0.583333333,1.922222222,0.551111111,1.5575,1.774074074,B,B,A,B,NA,61.33333333,B,71.16666667,133,A,
134,37.9579716,62.83333333,20.65433333,96.66666667,96.66666667,2.083333333,3.333333333,50.30864198,50.30864198,26,53.94444444,1.666666667,13.33333333,16.33333333,17,21,1,1.82,0.567777778,1.885,0.549722222,1.471111111,1.72537037,A,A,A,A,A,53.94444444,B,62.83333333,134,A,
135,18.58222849,44,49.36866667,100,100,2.083333333,4,46.77712801,46.77712801,20.22222222,38,2,6.666666667,14.83333333,17,21,1,2.724166667,1.107777778,2.686666667,0.896111111,2.493333333,2.634722222,B,B,B,A,A,38,A,44,135,B,
136,,,14.128,65,65,3,2,31.43294015,31.43294015,23.41666667,33.91666667,1.5,6,14,17,21,1,2.203333333,1.036666667,2.85,1.02,2.1175,2.390277778,B,B,A,B,A,33.91666667,A,,136,B,
137,45.42577585,54.16666667,11.544,79.16666667,100,1.75,4,66.70921986,66.70921986,14,42.25,2.166666667,5,12.83333333,18,24,1,1.77,0.665,1.583333333,0.676666667,1.37,1.574444444,B,A,A,B,NA,42.25,NA,54.16666667,137,B,
138,49.44870368,70.22222222,21.699,81.85185185,81.85185185,1.75,4,69.11574586,69.11574586,19.16666667,64.16666667,1.166666667,18,18.5,15,21,1,2.147916667,0.638333333,2.2025,0.5175,1.591666667,1.980694444,A,A,A,B,NA,64.16666667,B,70.22222222,138,A,
139,22.12544271,33.33333333,43.593,77.77777778,100,3.75,4,14.73069435,14.73069435,27.33333333,32.08333333,2,5.833333333,12.66666667,22,26,2,2.17625,0.88625,2.400833333,0.802083333,2.33625,2.304444444,B,B,B,A,B,32.08333333,A,33.33333333,139,B,
140,32.91918292,70.83333333,15.161,73.33333333,73.33333333,2.54,3.5,40.52990708,40.52990708,27.5,48.16666667,3,12.66666667,13.66666667,22,28,2,1.931666667,0.875833333,2.2725,1,2.05,2.084722222,B,A,B,B,B,48.16666667,B,70.83333333,140,A,
141,,,22.407,80,80,2.75,4,43.18181818,43.18181818,25,44,2,14,13,25,30,1,2.28,0.9225,2.7375,0.9325,2.15,2.389166667,B,B,B,NA,NA,44,NA,,141,A,
