line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
166,34.60421375,73.16666667,29.792,96.66666667,96.66666667,2.553333333,3.666666667,58.42282681,58.42282681,19.83333333,50,2.833333333,5.333333333,15.33333333,18,23,NA,1.835555556,0.778611111,2.1125,0.8275,1.630555556,1.859537037,A,A,B,B,B,50,B,73.16666667,166,B,
167,11.09400824,40.33333333,49.755,96.66666667,96.66666667,2.833333333,4,29.80954704,29.80954704,27.66666667,39.44444444,2.833333333,4.5,13.33333333,18,24,1,2.02375,0.805,2.355416667,0.90375,2.096666667,2.158611111,A,A,B,B,B,39.44444444,A,40.33333333,167,B,
168,33.90919216,62.05555556,45.978,90,90,3.333333333,4,46.81727764,46.81727764,20.83333333,41.66666667,2.333333333,5.333333333,14,19,25,NA,2.061388889,0.863055556,2.475,0.771666667,1.998055556,2.178148148,A,A,NA,B,B,41.66666667,NA,62.05555556,168,B,
169,30.00721501,73.83333333,36.2585,73.33333333,100,2.5,4,30.3375286,30.3375286,46.75,66.75,3,16,17,NA,NA,2,2.06875,0.825416667,2.365,0.841666667,1.90875,2.114166667,B,B,B,B,B,66.75,B,73.83333333,169,A,
170,30.91803739,77.33333333,30.4935,53.33333333,70,2.915,2.5,45.61403509,45.61403509,31,57,2.666666667,13.66666667,14.33333333,NA,NA,2,2.121666667,0.800833333,2.375833333,0.748333333,1.982916667,2.160138889,B,A,B,B,B,57,B,77.33333333,170,A,
171,56.53463036,66.33333333,13.4055,93.33333333,93.33333333,2.136666667,3.333333333,50.99154031,50.99154031,17.11111111,34.11111111,1.333333333,4,12.33333333,17,19,1,1.631666667,0.671666667,1.7625,0.556666667,1.482222222,1.609074074,B,B,A,B,A,34.11111111,,66.33333333,171,B,
172,29.77310165,75.5,25.077,83.33333333,83.33333333,2.333333333,3,26.59331409,26.59331409,39.44444444,53.83333333,2.333333333,15.66666667,14.83333333,20,28,1,1.917222222,0.653888889,2.285555556,0.702222222,1.870833333,2.024537037,A,A,B,B,B,53.83333333,B,75.5,172,A,
173,26.13919132,49.05555556,24.71866667,96.66666667,96.66666667,3.136666667,3.666666667,29.79340667,29.79340667,23.94444444,35.11111111,2.5,4.666666667,12.5,13,17,NA,1.736666667,0.545416667,2.117916667,0.57625,2.012916667,1.955833333,A,A,A,A,B,35.11111111,A,49.05555556,173,B,
174,59.60635176,68.33333333,24.11166667,100,100,1.5,4,67.4763083,67.4763083,19,61.16666667,1.833333333,6.833333333,19.16666667,17,21,1,2.605277778,0.873055556,2.076666667,0.631666667,1.7625,2.148148148,B,A,A,A,A,61.16666667,B,68.33333333,174,B,
175,47.51993436,75.33333333,18.176,85.92592593,85.92592593,2.36,3,35.61736771,35.61736771,38.66666667,60.66666667,2.833333333,14.33333333,14.33333333,19,21,1,1.731666667,0.5925,1.973333333,0.683333333,1.803888889,1.836296296,A,B,NA,B,B,60.66666667,B,75.33333333,175,A,
176,29.40784675,33,29.1285,100,100,2.25,4,39.31308962,39.31308962,17.5,29.25,1,5.5,11.83333333,14,17,1,2.6475,1.135,2.103333333,0.773333333,1.720416667,2.146388889,A,B,A,A,NA,29.25,A,33,176,B,
177,34.75716347,71.5,29.64866667,83.33333333,83.33333333,2.83,3.333333333,51.6196517,51.6196517,29.66666667,63.38888889,2.333333333,12.66666667,15.5,19,23,1,2.0625,0.869444444,2.265555556,0.861111111,1.77,2.032685185,B,A,B,B,B,63.38888889,B,71.5,177,A,
178,,,NA,15,#DIV/0!,4,1,NA,,NA,NA,2.5,11.5,12.5,NA,NA,2,NA,NA,NA,NA,NA,NA,B,B,NA,B,B,NA,,,178,A,
179,52.23258071,82.22222222,3.9315,59.25925926,77.77777778,1,2,51.95533958,51.95533958,31.25,65.75,3,15.33333333,16.66666667,NA,NA,2,1.71,0.88,2.11,0.96,1.4625,1.662083333,B,A,B,B,B,65.75,B,82.22222222,179,A,
180,52.84934474,79.66666667,22.13533333,90,90,1.72,3.666666667,72.83105982,72.83105982,16.33333333,61.61111111,1,14.33333333,16,15,19,NA,2.0475,0.67125,2.1125,0.57,1.546666667,1.902222222,B,A,A,B,NA,61.61111111,B,79.66666667,180,A,
181,24.50254818,39,31.21866667,100,100,2.166666667,4,29.90468961,29.90468961,22.11111111,31.72222222,1.5,7.666666667,15.5,15,19,1,2.356666667,0.987222222,2.180833333,0.72,1.765555556,2.101018519,B,A,A,A,A,31.72222222,A,39,181,B,
182,32.24250829,72.83333333,31.509,88.88888889,88.88888889,2.5,3,47.84657723,47.84657723,25.5,51.16666667,2.25,13.33333333,17.66666667,16,24,NA,2.486666667,1.086666667,2.815,1.19,2.229166667,2.510277778,A,A,B,A,B,51.16666667,B,72.83333333,182,NA,
183,30.56528533,67.5,35.841,96.66666667,96.66666667,2.083333333,4,49.51266461,49.51266461,27.05555556,53.44444444,1.666666667,6.5,18,14,22,1,2.001666667,0.8825,2.349444444,0.811944444,1.785,2.04537037,A,B,NA,B,B,53.44444444,B,67.5,183,B,
184,,,52.437,100,100,4.375,3.5,15.37324027,15.37324027,31.83333333,37.58333333,2,12,12,22,26,1,1.98,0.7425,2.381666667,0.653333333,2.427916667,2.263194444,A,B,NA,A,A,37.58333333,A,,184,A,
185,,,28.38233333,100,100,2.25,4,14.21536797,14.21536797,22.88888889,26.72222222,2,12.83333333,13.16666667,21,24,1,1.884166667,0.671666667,2.254444444,0.748333333,1.678333333,1.938981481,B,B,B,A,B,26.72222222,A,,185,A,
186,14.819231,37.16666667,41.44133333,100,100,2.083333333,4,13.22524905,13.22524905,27,30.83333333,2.166666667,14.5,12.5,19,24,1,2.17625,0.98,2.47625,0.884166667,1.952083333,2.201527778,B,A,B,A,B,30.83333333,A,37.16666667,186,A,
187,63.38889995,56.66666667,17.733,76.66666667,76.66666667,1.5625,3.5,70.52862812,70.52862812,13.125,47.875,1,5.75,15,13,18.75,NA,2.016875,0.92375,2.04625,0.6775,1.553125,1.872083333,NA,B,A,B,A,47.875,B,56.66666667,187,NA,
188,52.95613477,66,45.4215,70,70,2.333333333,2.666666667,55.37113481,55.37113481,23.16666667,50.83333333,3,6.833333333,15.66666667,NA,NA,1,2.065416667,1.007916667,2.285,0.8975,1.84625,2.065555556,B,A,B,B,B,50.83333333,B,66,188,B,
189,39.26323676,65.83333333,16.04633333,83.33333333,83.33333333,1.886666667,3,72.28920008,72.28920008,15.33333333,56.75,1,18,17.16666667,21,24,NA,1.8775,0.9275,2.03,0.91,1.8475,1.9175,B,A,NA,B,NA,56.75,B,65.83333333,189,NA,
190,37.0059275,72.66666667,36.1335,54.16666667,75,2.33,3,58.00060193,58.00060193,30.75,72.5,3,8,17.33333333,18,25,2,2.109166667,0.974166667,2.436666667,1.036666667,2.28,2.275277778,B,B,B,A,B,72.5,B,72.66666667,190,B,
191,40.49173479,79.55555556,30.55,81.85185185,81.85185185,2.5,3.333333333,46.16634178,46.16634178,29.33333333,55.33333333,2.583333333,15.33333333,15.66666667,22,30,1,1.7875,0.786388889,2.275833333,0.990833333,1.856666667,1.973333333,B,A,A,A,B,55.33333333,B,79.55555556,191,A,
192,29.24747475,63.33333333,31.11666667,90,90,2.11,3.333333333,43.5356409,43.5356409,34.33333333,62.83333333,2.333333333,17.08333333,18,18,24,1,2.115,0.85,2.44,0.849166667,2.248333333,2.267777778,A,B,B,B,B,62.83333333,B,63.33333333,192,A,
193,29.96283458,41.5,28.6075,100,100,2.25,4,44.98771499,44.98771499,17,31,1.333333333,8.833333333,14.33333333,20,22,1,2.109166667,0.640416667,2.47875,0.81875,1.69625,2.094722222,B,B,A,B,A,31,A,41.5,193,A,
194,22.61845268,80.83333333,20.597,81.48148148,94.44444444,2.04,3,29.41176471,29.41176471,48,68,2.666666667,16,15.33333333,15,27,1,1.64,0.64,2.0475,0.715,1.4525,1.713333333,A,A,B,B,B,68,B,80.83333333,194,A,
195,37.72229572,79,22.628,83.33333333,83.33333333,2.08,3.333333333,41.25679348,41.25679348,35.25,60.75,3,12.66666667,16.66666667,17,NA,1,2.139166667,0.7525,2.309166667,0.854166667,1.92,2.122777778,A,B,B,A,B,60.75,B,79,195,A,
196,20.32150284,43.66666667,29.13766667,100,100,2.083333333,4,5.914355914,5.914355914,32.83333333,34.94444444,1.666666667,18,17.33333333,18.5,22,1,2.318888889,0.838888889,2.304166667,0.851944444,1.9175,2.180185185,A,A,A,A,A,34.94444444,A,43.66666667,196,A,
197,34.1691586,69.16666667,19.82566667,83.33333333,83.33333333,1.875,3,50.72067535,50.72067535,27.88888889,53,2.666666667,5.333333333,14,20,23,1,2.365277778,1.1,2.552222222,0.933333333,1.977222222,2.298240741,A,A,B,B,B,53,B,69.16666667,197,B,
198,14.31373975,32.83333333,18.31866667,100,100,2.083333333,4,22.44364174,22.44364174,20,25,1,12.5,12.33333333,14,18,1,2.133333333,0.728333333,2.223333333,0.648333333,1.644722222,2.000462963,A,A,A,A,NA,25,A,32.83333333,198,A,
199,61.93155494,81.5,28.609,86.66666667,86.66666667,2.5,3.333333333,59.4768199,59.4768199,29,71.5,2.5,5,16.33333333,18,24,1,2.492222222,1.069444444,2.588333333,0.898611111,2.43,2.503518519,B,B,B,B,B,71.5,B,81.5,199,B,
200,4.936379244,42.5,26.202,48.14814815,100,2.25,4,38.59447005,38.59447005,21,36.5,2.5,15.33333333,15,22,28,1,2.0025,0.6475,2.34,0.98,1.5375,1.96,B,A,B,A,B,36.5,A,42.5,200,A,
201,51.56665346,74,16.383,74.07407407,88.88888889,2.375,3,45.29193698,45.29193698,26.5,53.25,2.333333333,6.333333333,15.83333333,17,23,1,1.6375,0.635,2.1725,0.7775,2.065833333,1.958611111,B,B,B,B,B,53.25,B,74,201,B,
202,36.80456705,57.77777778,22.0545,88.88888889,88.88888889,2.416666667,3.666666667,62.21694972,62.21694972,16.33333333,41.5,2.333333333,4.166666667,14.83333333,15,20,1,2.083333333,0.883333333,2.466666667,0.753333333,1.896666667,2.148888889,B,B,B,A,B,41.5,,57.77777778,202,B,
203,40.39778714,75.5,11.915,44.44444444,77.77777778,2,1,81.08108108,81.08108108,14,74,3,6.25,15,NA,NA,2,NA,NA,NA,NA,NA,NA,B,B,B,B,NA,74,B,75.5,203,B,
204,17.46115819,38.75,46.70733333,96.66666667,96.66666667,2.75,4,23.77530479,23.77530479,20.22222222,26.72222222,1.833333333,5.5,12.66666667,12,16,1,2.683888889,0.955277778,2.884722222,0.857777778,2.385,2.651203704,A,A,B,B,B,26.72222222,A,38.75,204,B,
205,27.09716566,71.5,42.7335,77.77777778,77.77777778,3,4,36.51515152,36.51515152,36.33333333,57.66666667,3,15.66666667,14.83333333,15,22,1,1.874166667,0.84,2.23625,0.84875,2.02375,2.044722222,A,B,A,B,B,57.66666667,B,71.5,205,A,
206,38.82523004,81.11111111,13.19,70,80,1.54,3.5,64.6151053,64.6151053,22,63.5,2.666666667,6.5,16,24,NA,1,2.593333333,1.263333333,2.74,1.11,2.783333333,2.705555556,A,B,NA,B,B,63.5,B,81.11111111,206,B,
207,43.04158607,67.72222222,27.062,92.96296296,92.96296296,1.833333333,3.666666667,57.61919848,57.61919848,23,55.33333333,2.5,5.666666667,15.66666667,21,27,1,1.825,0.666666667,2.175,0.688333333,1.715,1.905,NA,A,B,B,B,55.33333333,B,67.72222222,207,B,
208,13.73178793,44.16666667,19,40.55555556,70,3.33,3,21.33333333,21.33333333,29.5,37.5,2.5,11,12,NA,NA,1,1.89,0.83,2.38,0.635,2.15,2.14,B,B,B,B,B,37.5,A,44.16666667,208,A,
209,57.60020246,60.16666667,14.656,100,100,1.416666667,3.666666667,57.29123533,57.29123533,18.94444444,47.38888889,1,5,14.66666667,12,18,1,2.0175,0.755277778,2.14,0.5,1.435833333,1.7575,A,B,A,A,A,47.38888889,,60.16666667,209,B,
210,13.98563716,40,35.54933333,100,100,3,4,19.96387064,19.96387064,28.72222222,35.77777778,2,7,12.66666667,23,25,1,2.35,0.838333333,2.688888889,0.7525,2.097777778,2.378888889,B,B,B,A,A,35.77777778,A,40,210,NA,
211,21.9607084,64.16666667,29.92166667,90,90,2.916666667,3.333333333,35.08266537,35.08266537,34.22222222,53.33333333,2.666666667,15.33333333,15.66666667,18,23,2,1.768333333,0.658333333,2.154166667,0.733333333,1.849166667,1.923888889,B,B,B,B,B,53.33333333,B,64.16666667,211,A,
212,67.05195144,67.33333333,22.293,93.33333333,93.33333333,2.083333333,4,69.83320759,69.83320759,13,43.61111111,1.666666667,4.5,14.16666667,15,19,1,1.975833333,0.791666667,1.615,0.7825,1.630833333,1.773055556,B,A,A,B,A,43.61111111,,67.33333333,212,B,
213,28.87693495,70.94444444,37.483,100,100,2.166666667,4,28.44202899,28.44202899,44.5,62.5,3,12.33333333,13.83333333,19,25,1,1.92,0.715,2.438333333,0.800833333,1.9225,2.093611111,A,B,B,B,B,62.5,B,70.94444444,213,A,
214,39.00519481,69.75,21.526,60,73.33333333,3.386666667,2.333333333,38.13447594,38.13447594,28.5,48.25,3,13.33333333,13.16666667,18,25,NA,1.676666667,0.645833333,1.749166667,0.599166667,1.845833333,1.757222222,B,A,B,B,B,48.25,B,69.75,214,A,
215,17.29993756,34.66666667,46.797,63.88888889,64.58333333,4.22,2.333333333,33.56643357,33.56643357,16,24,2.333333333,4.333333333,10.16666667,18,23,2,1.876666667,0.93,2.18,0.875,2.096666667,2.051111111,A,B,A,B,B,24,A,34.66666667,215,B,
216,,,28.729,65,90,1.625,2.5,36.71875,36.71875,40.5,64,2.5,16,15,18,23,2,2.3,0.7575,2.52,0.795,1.8925,2.2375,B,A,B,A,B,64,B,,216,A,
217,43.51679858,78.75,NA,28.51851852,#DIV/0!,1.5,2,NA,,NA,NA,3,5,16.5,19,24,2,NA,NA,NA,NA,NA,NA,B,A,B,B,B,NA,B,78.75,217,B,
218,37.86897623,76,20.27,81.48148148,81.48148148,2.11,3,56.77066047,56.77066047,29,67.25,2.5,11,18.66666667,15,23,2,2.2375,1.2025,2.89,0.965,2.545,2.5575,A,A,B,B,B,67.25,B,76,218,NA,
219,58.11385075,73.75,32.30666667,92.59259259,92.59259259,2.72,3.666666667,NA,57.96509992,16.33333333,NA,1.666666667,6.833333333,15.66666667,20,24,1,2.171111111,0.876666667,2.632222222,0.933333333,1.8275,2.210277778,B,A,A,A,A,NA,B,73.75,219,B,
220,11.13963437,40.33333333,48.467,83.33333333,83.33333333,3.75,3.333333333,36.95014663,36.95014663,20,32,2.5,5.333333333,13.33333333,18,23,NA,2.272916667,1.145,2.2475,0.949166667,2.060833333,2.19375,A,A,B,A,B,32,A,40.33333333,220,B,
221,62.99088555,68.83333333,16.6,86.66666667,86.66666667,2.026666667,3.666666667,60.50027786,60.50027786,18.83333333,47.66666667,1.333333333,8,17.83333333,13,17,1,1.911388889,0.6625,1.965,0.5,1.439166667,1.771851852,A,B,A,B,A,47.66666667,B,68.83333333,221,B,
222,71.29496403,69.75,20.622,74.07407407,100,1.875,4,76.21988369,76.21988369,12.91666667,54.91666667,1.5,5.333333333,16.33333333,13,NA,2,2.48125,0.79625,2.335833333,0.569166667,1.71625,2.177777778,B,A,A,B,A,54.91666667,B,69.75,222,B,
223,33.34775641,68,29.5715,83.33333333,83.33333333,2.333333333,3.666666667,55.62331337,55.62331337,27.94444444,63.27777778,2.333333333,5.333333333,14,24,24,1,2.279166667,0.889166667,2.2925,0.8075,2.106666667,2.226111111,B,A,B,B,NA,63.27777778,B,68,223,B,
224,50.56194125,68.5,24.009,96.66666667,100,1.5,4,58.32206903,58.32206903,25.41666667,61.25,1.166666667,13.16666667,20.66666667,14,17,1,2.415,0.70125,2.198333333,0.611666667,1.48625,2.033194444,B,B,A,B,A,61.25,B,68.5,224,A,
225,43.25913445,65.66666667,19.98533333,86.66666667,86.66666667,2,3.333333333,43.88178749,43.88178749,29.38888889,53.61111111,2.333333333,6.333333333,16.33333333,NA,NA,1,2.024166667,0.780555556,2.395555556,0.852222222,1.7925,2.070740741,B,B,B,B,B,53.61111111,B,65.66666667,225,B,
226,26.49943046,32,15.4395,90,90,2.416666667,4,37.07496203,37.07496203,13.11111111,20.66666667,2.166666667,5.333333333,12.33333333,16,20,1,2.040555556,0.874722222,1.891666667,0.731111111,1.560277778,1.830833333,A,A,NA,A,A,20.66666667,A,32,226,B,
227,,,22.72533333,96.66666667,96.66666667,2.416666667,4,43.05555556,43.05555556,15.11111111,27.33333333,1.666666667,8,14.16666667,14,18,1,2.317777778,0.910555556,2.372222222,0.628888889,1.59,2.093333333,B,A,A,B,B,27.33333333,A,,227,NA,
228,10.25982678,35.83333333,13.6835,96.66666667,96.66666667,3.303333333,3.666666667,20.68100358,20.68100358,20.83333333,26.72222222,2.833333333,9.333333333,9.166666667,16,20,1,1.929444444,0.572222222,2.046111111,0.517777778,1.796111111,1.923888889,A,A,B,A,B,26.72222222,A,35.83333333,228,A,
229,31.38314295,60,NA,40.74074074,#DIV/0!,NA,1,NA,,NA,NA,3,6,15,NA,NA,2,NA,NA,NA,NA,NA,NA,B,A,B,B,NA,NA,B,60,229,B,
230,57.95801557,66.16666667,18.351,100,100,1.916666667,4,84.10478599,84.10478599,9.833333333,61.16666667,1.333333333,3.25,14.5,17,22,1,2.405277778,0.825555556,2.449166667,0.6675,1.941111111,2.237222222,A,B,A,B,A,61.16666667,B,66.16666667,230,B,
231,56.97777778,56,8.2485,70.83333333,87.5,1.75,3,51.48948598,51.48948598,24.75,50.75,2,6,15.25,NA,NA,2,1.5575,0.46875,1.76,0.36,1.0725,1.463333333,B,A,A,B,A,50.75,B,56,231,B,
232,51.2455329,69,11.3775,50,55,1.75,2,62.15375039,59.72851652,21.5,56.75,2.833333333,16.5,17.75,NA,NA,1,1.96,0.7575,2.09,0.84,1.465,1.800833333,A,A,B,A,B,56.75,B,69,232,A,
233,,,29.745,90,90,2.276666667,3.666666667,55.95059052,55.95059052,15,46.88888889,1.083333333,7,16.66666667,12,15,1,2.115,0.804166667,2.37,0.5225,1.75125,2.07875,A,B,A,A,A,46.88888889,,,233,B,
234,41.10536002,28.16666667,26.13833333,93.33333333,93.33333333,2.916666667,4,31.1088486,31.1088486,13.72222222,19.83333333,1.833333333,4.666666667,10.83333333,NA,NA,1,2.23125,0.79875,2.28,0.72625,1.711666667,2.074305556,B,A,A,A,A,19.83333333,A,28.16666667,234,B,
235,,,27.29233333,96.66666667,96.66666667,2.333333333,3.666666667,24.78387076,24.78387076,42.5,55.83333333,2.833333333,7.333333333,15.66666667,17,25,1,1.853055556,0.853888889,2.652777778,1.075,2.070555556,2.19212963,A,A,B,B,NA,55.83333333,B,,235,B,
236,7.152625153,42.66666667,25.40333333,100,100,2.333333333,4,19.50249678,19.50249678,27.16666667,33.16666667,2,13,13.16666667,15,18,NA,2.180277778,0.741111111,2.474166667,0.704166667,1.8,2.151481481,B,A,B,A,B,33.16666667,A,42.66666667,236,A,
237,16.06600753,44.11111111,20.45433333,93.33333333,93.33333333,2.496666667,3.333333333,26.66059502,26.66059502,26,35.16666667,2.333333333,12.33333333,13.16666667,14,21,1,2.355,0.889166667,2.51,0.904444444,1.758888889,2.142037037,A,B,B,B,B,35.16666667,A,44.11111111,237,A,
238,54.14232872,58.16666667,5.452,93.33333333,93.33333333,2.583333333,3.333333333,40.92113857,40.92113857,19.66666667,34.33333333,1,9.5,12,15,19,1,1.755,0.506666667,2.378333333,0.651666667,1.363888889,1.832407407,A,B,A,A,NA,34.33333333,,58.16666667,238,B,
239,56.88550877,65.16666667,20.505,93.33333333,93.33333333,2.25,3.5,76.81944758,76.81944758,13.5,58,1.5,7.75,19,NA,NA,2,2.085,0.715,2.2975,0.605,1.8075,2.063333333,B,A,A,B,A,58,B,65.16666667,239,B,
240,32.81156392,61.72222222,44.812,70,70,3.165,3,53.02795031,53.02795031,27,58.66666667,2.666666667,7.5,14.16666667,NA,NA,NA,1.985,0.735,2.568333333,1.016666667,2.53,2.361111111,B,B,B,B,B,58.66666667,B,61.72222222,240,NA,
241,25.54357062,63.66666667,36.12333333,86.66666667,86.66666667,2.58,3.666666667,30.14312855,30.14312855,33.22222222,48,2.666666667,6,15.16666667,11,21,NA,2.190833333,0.84125,2.52875,0.86875,2.349166667,2.35625,A,B,A,B,B,48,B,63.66666667,241,B,
242,19.54779132,47.5,49.67,46.66666667,90,2.75,4,40.74074074,40.74074074,26.66666667,45,2.25,15.25,13.75,NA,NA,2,1.935,0.66,2.585,0.68,2.08,2.2,B,B,B,B,B,45,,47.5,242,A,
243,57.65455305,69.25,28.644,76.75925926,83.88888889,2.75,3,63.64097332,63.64097332,16.55555556,48.5,2,4.333333333,16,19,20,1,2.140833333,0.949166667,2.207777778,0.874444444,1.641388889,1.996666667,B,B,A,B,NA,48.5,B,69.25,243,B,
244,10.56751468,37.5,27.845,80.95238095,100,2,4,15.1352232,15.1352232,27.16666667,32,2.333333333,13.5,13.5,NA,NA,2,2.23875,0.75625,2.171666667,0.665,1.5875,1.999305556,B,B,B,A,NA,32,A,37.5,244,A,
245,7.52194211,28,21.97953333,96.66666667,96.66666667,5.75,4,15.10297178,15.10297178,16.16666667,18.83333333,2.666666667,8,12.83333333,NA,NA,NA,2.87,0.96,2.846111111,0.722777778,2.902222222,2.870277778,A,B,A,A,A,18.83333333,A,28,245,B,
246,45.49741243,78.16666667,19.925,90,90,2.083333333,4,27.66315303,27.66315303,34.16666667,47.33333333,2.666666667,11,15.33333333,NA,NA,1,1.885,0.89125,2.054583333,0.822916667,1.88625,1.941944444,A,B,A,B,B,47.33333333,B,78.16666667,246,A,
247,8.081234596,45.66666667,26.94766667,90,90,2.75,3.666666667,32.22101288,32.22101288,25.16666667,37.5,2.5,14,15.16666667,20,23,1,2.400277778,0.903611111,2.493888889,0.833611111,2.091111111,2.328425926,B,A,B,A,B,37.5,A,45.66666667,247,A,
248,52.01214405,86.5,20.81333333,82.59259259,82.59259259,2.193333333,3.666666667,52.68357688,52.68357688,27.16666667,56.66666667,3,11.66666667,14.66666667,20,27,1,1.806666667,0.736666667,2.106666667,0.706666667,1.95,1.954444444,A,A,B,B,B,56.66666667,B,86.5,248,A,
249,7.439052977,41.5,34.324,93.33333333,93.33333333,2.75,3.666666667,17.39837398,17.39837398,22.11111111,26.55555556,2,13,11.66666667,15,22,1,1.950833333,0.89375,2.203333333,0.799166667,1.870833333,2.008333333,A,A,B,A,B,26.55555556,A,41.5,249,A,
250,38.2712489,30.83333333,32.0425,73.33333333,100,2.375,4,31.59482759,31.59482759,19.16666667,27.83333333,1.333333333,4.666666667,12.33333333,15,19,2,2.713333333,0.800416667,2.795,0.711666667,1.91625,2.474861111,A,A,A,B,A,27.83333333,A,30.83333333,250,B,
251,46.83576281,63,20.56033333,93.33333333,93.33333333,1.416666667,4,60.71322822,60.71322822,19,53.5,1.666666667,NA,16.33333333,11,15,1,1.913333333,0.699166667,2.308333333,0.708333333,1.572222222,1.848518519,NA,B,A,A,A,53.5,B,63,251,NA,
252,25.03856747,32,19.9025,93.33333333,93.33333333,2.333333333,3,44.27627958,44.27627958,14.16666667,25.22222222,1.5,NA,13,15,18,1,2.115,0.648611111,2.141666667,0.551666667,1.5975,1.951388889,B,B,B,B,B,25.22222222,A,32,252,NA,
253,9.917748918,40,47.87566667,92.59259259,92.59259259,3.833333333,4,20.38476067,20.38476067,24.88888889,31.16666667,2.333333333,6,12.83333333,16,20,1,2.3975,1.0575,2.554166667,0.993333333,2.465,2.472222222,A,A,B,A,B,31.16666667,A,40,253,B,
254,37.04300982,68.33333333,15.25733333,96.2962963,96.2962963,2.166666667,3.666666667,65.09198848,65.09198848,17.5,50.5,2.666666667,5,13.5,18,22,1,2.039444444,1.005,2.05,0.86,2.147222222,2.078888889,B,B,B,A,NA,50.5,B,68.33333333,254,B,
255,49.30168351,57.16666667,19.12033333,86.66666667,86.66666667,1.72,3.666666667,66.51211433,66.51211433,12.66666667,41.72222222,1.666666667,6.666666667,16.16666667,16,21,1,1.918888889,0.629722222,1.796666667,0.651666667,1.573055556,1.738240741,B,B,A,B,A,41.72222222,,57.16666667,255,B,
