Line_name,planting_generation,GerminateNABozemanNA2016,Unknown,dpo_boze_2016,plants_harvestedNA_Boze_2016,Avg_brnch_numb_boz_2016,avg_height_boze_2016,avg_length_boze_2016,pctg_Lodging_boze_2016,Mat_time_boze_2016,bif_boze_2016,avg_tend_length_boze_2016,Avg_Main_stem_diam_boze_2016,avg_comp_mn_stm_dia_boze_2016,avg_branch_diam_boze_2016,avg_comp_brnch_diam_boze_2016,avg_root_diam_boze_2016,Yield_boze_2016,white_flow_2016_boze,afila_2016_boze_
153,F7,24,96,1,5,1.6,56.25,101.25,44.44444444,2,3,18.5,1.8475,0.91,2.386666667,0.9,1.6,,B,A
154,F7,24,96,1,5,1.8,32.33333333,32.66666667,1.020408163,1,1,14.16666667,1.884,0.834,1.873333333,0.706666667,1.388,,A,A
155,F7,24,96,1,5,1.8,39.66666667,41.66666667,4.8,2,2,17,1.844,0.692,1.955,0.5925,1.368,,B,A
156,F7 or F6,24,96,1,5,1,14.33333333,67.33333333,78.71287129,1,2.5,19.5,2.122,0.776,,,1.346,,B,B
157,F7,21,84,1,5,1,,,,2,1,18.5,2.142,0.962,,,1.548,,A,B
158,F7 or F6,25,100,1,4,1,24.66666667,69.66666667,64.59330144,1.5,1,,2.023333333,0.91,,,1.37,,B,B
159,F6,21,84,1,5,1,12.66666667,71,82.15962441,1,2.5,20.75,1.786,0.768,,,1.306,,B,A
160,F7,24,96,1,5,1.6,27.66666667,50.33333333,45.03311258,3.5,4.5,14,2.302,1.116,2.8,0.94,1.7775,,A,B
161,F6,24,96,1,5,2,31.66666667,62,48.92473118,1,2,17.75,1.5525,0.855,2,0.9125,1.504,,A,A
162,F6,15,60,1,5,1.8,23.5,36,34.72222222,2,3,14.75,2.28,1.104,2.4925,1.03,1.868,,A,B
163,F6,18,72,1,3,2.333333333,34.66666667,37.33333333,7.142857143,2,1,13.5,2.146666667,1.1,2.34,1.116666667,2.03,,B,A
164,F7,24,96,1,5,2,25,44,43.18181818,1.5,3,12.5,2.3,0.82,2.6225,0.7275,2.082,,B,B
165,F7,23,92,1,5,1.8,31,52,40.38461538,2,2,15,1.87,0.918,2.1,0.7425,1.814,,B,B
166,F7,25,100,1,5,1.8,42,62.66666667,32.9787234,1,2,16.33333333,1.666,0.682,2.163333333,0.676666667,1.476,,A,B
167,F7,25,100,1,5,2,41.5,52.5,20.95238095,2.5,3.25,12.25,2.1325,0.775,2.476666667,0.66,1.62,,A,B
168,F7,20,80,1,5,2.6,32.66666667,42.66666667,23.4375,2.5,3.5,13.83333333,1.948,0.884,2.3975,0.925,1.654,,A,B
169,,,,,,,,,,,,,,,,,,,,
170,F7,14,56,1,3,2.666666667,34.66666667,70,50.47619048,3,2.75,18,1.97,0.896666667,1.93,0.663333333,1.673333333,,B,A
171,F7,21,84,1,5,1.6,15.75,55.25,71.49321267,1,1,15.16666667,1.88,0.81,2.105,0.645,1.306,,B,B
172,F7,24,96,1,5,2.6,34.33333333,60.66666667,43.40659341,1,1,16.75,1.73,0.666666667,2.106,0.704,1.482,,A,A
173,F7,24,96,1,5,2.8,35,51.66666667,32.25806452,1,1,14.83333333,1.9025,0.91,2.186,0.7,1.712,,A,B
174,F7 or F6,18,72,1,3,1.333333333,29.25,35.5,17.6056338,1,1,18.5,2.736666667,1.413333333,3,0.89,1.586666667,,B,B
175,F7,25,100,1,5,2.8,64.66666667,69.66666667,7.177033493,1,1,17,1.542,0.584,1.94,0.644,1.564,,A,A
176,F7,25,100,1,5,2,23,27.66666667,16.86746988,1,1,12.33333333,2.326,1.098,1.39,0.53,1.422,,A,B
177,F7,18,72,1,2,1.5,41,59.5,31.09243697,1,1,16.5,1.615,0.92,2.24,1.22,1.35,NA,B,A
178,,,,,,,,,,,,,,,,,,,,
179,F7,21,84,1,4,1.5,21.33333333,79,72.99578059,1.75,2.5,16.33333333,1.763333333,0.743333333,1.655,0.56,1.3875,,B,A
180,F7,9,36,1,,,18.33333333,80.33333333,77.17842324,,1,14.75,,,,,,NA,B,A
181,F7,18,72,1,5,1.6,21,32.25,34.88372093,1.5,1,12,2.228,1.014,2.515,0.9,1.604,,B,B
182,F7,18,72,1,,,,,,2,1.75,17.25,,,,,,,A,B
183,F6,25,100,1,5,1.4,16.66666667,63,73.54497354,1,3,18.75,2.0375,0.76,2.275,0.675,1.3725,,A,B
184,F6,25,100,1,5,3.2,26.33333333,33.33333333,21,1,1.75,11.16666667,1.504,0.56,1.93,0.592,1.602,,A,A
185,F6,24,96,1,5,2,25.25,27,6.481481481,1,1,11.75,1.736,0.812,2.1,0.7275,1.346,,B,A
186,F7,23,92,1,5,1.8,38,45.33333333,16.17647059,2,3,,1.725,0.6425,2.275,0.775,1.2625,,B,A
187,F6,25,100,1,5,1,34,59.33333333,42.69662921,1,1.5,15.83333333,1.772,1.04,,,1.32,,A,B
188,F7,24,96,1,4,1,36,59,38.98305085,1.5,2,14.33333333,1.7725,0.795,,,1.3325,,B,B
189,F7,23,92,1,5,1,18.66666667,55.33333333,66.26506024,1,1,14.5,1.852,0.762,,,1.37,,B,NA
190,F7,18,72,1,3,1,26.33333333,64.33333333,59.06735751,2,2,17.16666667,2.26,1.036666667,,,1.363333333,,B,B
191,F7,24,96,1,5,1,26.66666667,64,58.33333333,2,2.5,15.5,1.78,1.022,,,1.29,,B,A
192,F7,24,96,1,4,1.5,45.33333333,60,24.44444444,1,1,14.5,1.57,1.1,1.915,0.845,1.2,,A,A
193,F7,14,56,1,3,1,15.5,31.5,50.79365079,1,1,10.75,2.12,0.946666667,,,1.34,,B,A
194,F7,25,100,1,4,1.25,18,66.33333333,72.86432161,1,1,16.25,1.545,0.67,1.955,0.76,1.423333333,,A,A
195,F7,24,96,1,5,1.8,55,67,17.91044776,1,2.25,15.875,2.12,1,2.39,0.8775,1.57,,A,A
196,F7,23,92,1,5,1.2,34.33333333,36.33333333,5.504587156,2,1,13,1.924,0.716,2.34,0.69,1.24,,B,A
197,F7,25,100,1,5,1.2,42.33333333,60.66666667,30.21978022,1.5,2,17.5,1.858,0.876,2.02,0.68,1.474,,A,B
198,F7,23,92,1,5,1,20.25,26,22.11538462,1,1,9.25,1.808,0.638,,,1.128,,A,A
199,F6,24,96,1,5,1.4,27.33333333,64.66666667,57.73195876,1.5,3,16.16666667,2.024,0.882,1.975,0.7,1.728,,B,B
200,F7,24,96,1,5,1.8,30.5,35.25,13.4751773,1,1,13.16666667,1.946666667,0.763333333,2.203333333,0.733333333,1.4575,,B,A
201,F7,23,92,1,5,1.2,35,64.66666667,45.87628866,2,2,16.5,1.8275,0.8925,1.46,0.965,1.378,,B,B
202,F7,24,96,1,5,1.4,34.66666667,52.33333333,33.75796178,1,2.5,17,2.16,1.015,2.355,0.855,1.456666667,,B,B
203,,,,,,,,,,,,,,,,,,,,
