,# of seed,Grams,100 SEED WEIGHT,Height/ length 2013 inches,Length (cm),# of branches 2013,"Strength of base; Weak=1, very strong=4, 2013","Erectness, Fallen=1, erect=4. 2013",width of stem at base (thick or thin)=2013,"early flower, late flower, or indeterminate 2013","Bifurcation (1=no, 2=yes) 2013",White flower 2013,Afila 2013,germination 2013 %,Runt?,Does it look like a good variety,overall rating
Delta,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,A,A,,,,
Rer,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,B,B,,,,
126,NA,NA,NA,30,76.2,2,2,3,1,2,1,A,A,80,,1,7
127,NA,NA,NA,15,38.1,5,2,3,1,2,1,A,A,100,,2,8
128,NA,NA,NA,24,60.96,5,3,2,1,2,1,B,B,60,,1,7
129,NA,NA,NA,30,76.2,4,3,2,1,2,1,B,A,80,,1,7
130,NA,NA,NA,30,,1,1,1,1,2,1,B,B,80,yes,1,4
131,149,19.904,13.35838926,18,45.72,7,3,4,1.5,2,1,B,A,80,,2,10.5
132,NA,NA,NA,21,53.34,2,1,2,1,2,1,B,A,100,,1,5
133,NA,NA,NA,21,53.34,2,1,1,1,2,1,B,A,80,,1,4
134,NA,NA,NA,21,53.34,6,1,2,1,2,1,A,A,100,,1,5
135,NA,NA,NA,17,43.18,4,3,1,1.5,1,1,B,B,100,,1,6.5
136,NA,NA,NA,9,,3,3,1,3,1,1,B,B,20,yes,1,8
137,NA,NA,NA,14,35.56,4,1,1,2,1,1,B,B,20,,1,5
138,NA,NA,NA,30,76.2,3,3,2,1,2,1,A,A,80,,1,7
139,NA,NA,NA,21,53.34,7,3,1,1,1,1,B,B,60,,1,6
140,NA,NA,NA,18,45.72,2,1,1,1,2,1,B,A,80,yes,1,4
141,NA,NA,NA,30,76.2,4,2,1,1,2,2,A,B,40,,1,5
142,NA,NA,NA,12,30.48,3,3,1,2,1,1,B,B,80,,1,7
143,NA,NA,NA,30,76.2,5,2,1,1,2,1,A,A,100,,1,5
144,NA,NA,NA,40,101.6,7,3,2,1,2,1,B,B,100,,1,7
145,215,26.513,12.33162791,18,45.72,7,4,3.5,2,2,1,A,B,80,,1,10.5
146,NA,NA,NA,33,83.82,6,3,3,2,2,1,A,B,100,,2,10
147,NA,NA,NA,36,91.44,7,2,2,1.5,2,1,B,B,80,,1,6.5
148,NA,NA,NA,30,76.2,3,3,1,1,1,1,B,A,80,,1,6
149,NA,NA,NA,15,38.1,6,3,3,2,1,1,B,B,80,,1,9
150,NA,NA,NA,27,68.58,4,3,2,1,2,1,B,B,80,,1,7
151,NA,NA,NA,36,91.44,5,3,1,1,1,1,B,B,80,,1,6
152,NA,NA,NA,22,55.88,1,1,1,2,2,1,B,B,100,,1,5
153,NA,NA,NA,36,91.44,2,1,1,1,2,1,B,B,60,,1,4
154,NA,NA,NA,16,40.64,4,3,1,1,NA,1,A,B,80,,1,6
155,164,21.915,13.36280488,16,40.64,9,3,4,2.5,2,1,B,A,100,,1,10.5
156,NA,NA,NA,18,45.72,3,3,1,1,1,1,B,B,100,,1,6
157,NA,NA,NA,24,60.96,2,2,1,2.5,2,1,B,B,100,,1,6.5
158,NA,NA,NA,18,45.72,3,2,1,1,1,1,NA,B,80,,1,5
159,NA,NA,NA,9,,1,2,1,1,1,1,NA,A,100,yes,1,5
160,120,13.948,11.62333333,17,43.18,6,3,4,1,2,1,A,B,100,,1,9
161,NA,NA,NA,30,76.2,5,2,1,2,2,1,A,A,100,,1,6
162,NA,NA,NA,12,30.48,3,1,2,2,2,1,B,B,80,,1,6
163,NA,NA,NA,15,38.1,3,2,1,1,1,1,B,A,100,,1,5
164,NA,NA,NA,12,30.48,4,3,1,2,1,1,B,B,100,,1,7
165,NA,NA,NA,16,40.64,4,1,1,1,2,1,B,B,100,,1,4
166,NA,NA,NA,13,33.02,2,1,1,1,2,1,A,B,100,,1,4
167,NA,NA,NA,33,83.82,2,1,1,1,1,1,A,B,100,,1,4
168,NA,NA,NA,27,68.58,2,1,1,1,2,1,B,B,80,,1,4
169,NA,NA,NA,24,60.96,6,3,1,1,2,1,B,A,80,,1,6
170,NA,NA,NA,30,76.2,5,2,1,1,2,1,B,B,80,,1,5
171,NA,NA,NA,10,25.4,5,3,1,1,2,1,B,B,100,,1,6
172,NA,NA,NA,36,91.44,4,2,1,1,2,1,A,A,80,,1,5
173,NA,NA,NA,27,68.58,5,3,2,1,2,1,A,B,100,,1,7
174,NA,NA,NA,30,76.2,3,2,1,1,1,1,B,B,60,,1,5
175,NA,NA,NA,16,40.64,1,1,1,1,2,1,A,B,80,,1,4
176,NA,NA,NA,16,40.64,3,3,1,2,1,1,A,B,80,,1,7
177,NA,NA,NA,33,83.82,4,2,2,1,2,1,B,A,80,,1,6
178,NA,NA,NA,27,68.58,4,2,1,1,2,1,B,A,80,,1,5
179,NA,NA,NA,25,63.5,4,2,1,1,2,1,B,A,80,,1,5
180,NA,NA,NA,15,38.1,3,2,1,1,1,1,B,A,100,,1,5
181,NA,NA,NA,10,25.4,2,1,1,2,1,1,B,B,100,,1,5
182,NA,NA,NA,20,50.8,3,3,1,1,2,1,B,B,100,,1,6
183,NA,NA,NA,26,66.04,3,3,1,1,NA,1,A,B,100,,1,6
184,NA,NA,NA,16,40.64,4,3,1,1,2,1,B,B,100,,1,6
185,NA,NA,NA,24,60.96,1,3,1,1,2,1,B,A,80,,1,6
186,NA,NA,NA,16,40.64,4,3,3,1,2,1,B,A,100,,1,8
187,NA,NA,NA,14,35.56,2,2,1,1,1,1,NA,B,80,,1,5
188,NA,NA,NA,22,55.88,4,2,1,1,2,1,B,B,100,,1,5
189,NA,NA,NA,19,48.26,1,3,1,1,2,1,B,B,60,,1,6
