Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
176,100,12,1.4,27,44.44444444,1,A,B,2.3425,,1.2775
177,82.35294118,16.5,1.8,63.33333333,31.05263158,3,B,A,1.546666667,1.85,1.385
178,,,,,,,,,,,
179,100,18.5,1.4,77.5,43.22580645,3,B,A,1.6725,2.03,1.44
180,64.70588235,15.5,2,66.66666667,44,3,B,A,1.585,1.815,1.216666667
181,100,12,1.4,29.33333333,47.72727273,4,B,B,2.114,,1.38
182,100,15.5,1,53.33333333,50,1.5,A,B,1.915,2.14,1.353333333
183,100,15,1.2,48.5,18.55670103,2.5,A,B,1.8225,2.03,1.288
184,94.11764706,13,2.6,36.5,9.589041096,4,A,A,2.085,1.82,1.536
185,100,12.5,1.2,26.66666667,36.25,4,B,A,1.8425,,1.2175
186,100,13,1.6,29,10.34482759,4,B,A,1.986,2.04,1.298
187,94.11764706,14,1,48.5,35.05154639,1,A,B,2.023333333,,1.3225
188,88.23529412,16,1.2,64.66666667,44.32989691,3,B,B,1.65,2.03,1.226
189,,14.5,,53,66.03773585,3,B,seg,,,
190,94.11764706,18,1.25,66.5,19.54887218,3,B,B,2.0725,,1.725
191,94.11764706,17.5,1.6,47.5,31.57894737,3,B,A,1.732,,1.296
192,94.11764706,19,1.2,50.66666667,17.10526316,3,A,A,1.7,2.12,1.274
193,70.58823529,15,1,30.66666667,10.86956522,3,B,A,2.253333333,,1.32
194,100,19,1.5,73,17.12328767,3,A,A,1.6225,1.68,1.25
195,100,17,1.25,49.66666667,32.2147651,3,A,A,1.8175,1.67,1.216666667
196,100,12,1,34.25,27.73722628,3,B,A,2.086,,1.466
197,100,14.5,1,57,32.16374269,3,A,B,2.112,2.42,1.742
198,94.11764706,13.5,1.4,28.33333333,10.58823529,1,A,A,1.995,,1.4825
199,82.35294118,16,1,65,47.69230769,3,B,B,2.16,,1.58
200,100,18.5,1.8,41.33333333,9.677419355,3,B,A,2.04,2.005,1.47
201,82.35294118,14.5,2,63.5,46.45669291,3,B,B,1.9625,2.195,1.4025
202,88.23529412,16,2,56.25,25.77777778,1.5,B,B,1.8175,1.793333333,1.3275
203,,,,,,,,,,,
204,100,14,1.2,26.33333333,18.98734177,4,A,B,2.404,2.47,1.538
205,100,17,1.4,77,20.77922078,3,A,A,1.955,1.93,1.638
206,100,21,1,84,53.57142857,3,A,B,2.06,1.91,1.532
207,94.11764706,17,1.6,74.66666667,39.73214286,3,A,B,1.786666667,1.892,1.484
208,,,,,,,,,,,
209,100,15,1.2,50,38,1,A,B,2.113333333,1.72,1.315
210,94.11764706,14.5,1.3,35.33333333,12.26415094,3,B,NA,2.168,1.67,1.288
211,100,13.5,1.8,72.66666667,25.2293578,3,B,A,1.622,1.82,1.334
212,82.35294118,16,1.2,48,33.33333333,2,B,B,1.71,1.36,1.37
213,94.11764706,17.5,1.5,66,9.848484848,3,A,B,2.045,1.726666667,1.3625
214,94.11764706,16,1.4,71.33333333,18.22429907,3,B,A,1.65,1.73,1.412
215,100,12,2.1,34.33333333,11.65048544,2,A,B,2.182,2.1075,1.468
216,100,18,1.4,72,13.19444444,3,B,A,1.79,2.62,1.476
217,,,,,,,,,,,
218,100,18.5,1.4,70.33333333,29.38388626,2,A,seg,1.8975,2.483333333,1.634
219,88.23529412,15.5,1.8,36.5,24.65753425,3,B,B,2.262,,1.396
220,100,14.5,2.3,41,10.56910569,2,A,B,2.278,1.993333333,1.556
